date,amount,category,text
2026-02-01,12000,식비,점심(김치볶음밥)
2026-02-01,2500,교통비,버스 왕복
2026-02-02,8500,식비,편의점 도시락
2026-02-03,55000,자기계발비,온라인 강의 교재
2026-02-04,1250,교통비,지하철(외근)
2026-02-05,15000,의료비,안과 진료
2026-02-06,9000,식비,돈까스 전문점
2026-02-07,15000,여가생활비,코인 노래방 및 간식
2026-02-08,45000,쇼핑,니트 의류 구매
2026-02-09,1250,교통비,버스(출근)
2026-02-10,22000,식비,치킨 배달
2026-02-11,8000,식비,서브웨이 샌드위치
2026-02-12,12000,쇼핑,마스크 팩 및 로션
2026-02-13,50000,선물,동생 생일 기프티콘
2026-02-14,80000,여행/숙박비,발렌타인데이 호텔 예약
2026-02-15,35000,식비,기념일 저녁 식사
2026-02-15,10000,교통비,택시 이동(귀가)
